+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| SUUR0000SA0 | 2019 |  M01   | 142.194 |  Initial  |
| SUUR0000SA0 | 2018 |  M12   | 141.917 |  Interim  |
| SUUR0000SA0 | 2018 |  M11   | 142.389 |  Interim  |
| SUUR0000SA0 | 2018 |  M10   | 142.862 |  Interim  |
| SUUR0000SA0 | 2018 |  M09   | 142.631 |  Interim  |
| SUUR0000SA0 | 2018 |  M08   | 142.473 |  Interim  |
| SUUR0000SA0 | 2018 |  M07   | 142.420 |  Interim  |
| SUUR0000SA0 | 2018 |  M06   | 142.425 |  Interim  |
| SUUR0000SA0 | 2018 |  M05   | 142.215 |  Interim  |
| SUUR0000SA0 | 2018 |  M04   | 141.672 |  Interim  |
| SUUR0000SA0 | 2018 |  M03   | 141.142 |           |
| SUUR0000SA0 | 2018 |  M02   | 140.805 |           |
| SUUR0000SA0 | 2018 |  M01   | 140.239 |           |
| SUUR0000SA0 | 2017 |  M12   | 139.546 |           |
| SUUR0000SA0 | 2017 |  M11   | 139.720 |           |
| SUUR0000SA0 | 2017 |  M10   | 139.782 |           |
| SUUR0000SA0 | 2017 |  M09   | 139.878 |           |
| SUUR0000SA0 | 2017 |  M08   | 139.128 |           |
| SUUR0000SA0 | 2017 |  M07   | 138.755 |           |
| SUUR0000SA0 | 2017 |  M06   | 138.989 |           |
| SUUR0000SA0 | 2017 |  M05   | 138.922 |           |
| SUUR0000SA0 | 2017 |  M04   | 138.810 |           |
| SUUR0000SA0 | 2017 |  M03   | 138.461 |           |
| SUUR0000SA0 | 2017 |  M02   | 138.403 |           |
| SUUR0000SA0 | 2017 |  M01   | 138.035 |           |
| SUUR0000SA0 | 2016 |  M12   | 137.221 |           |
| SUUR0000SA0 | 2016 |  M11   | 137.253 |           |
| SUUR0000SA0 | 2016 |  M10   | 137.536 |           |
| SUUR0000SA0 | 2016 |  M09   | 137.328 |           |
| SUUR0000SA0 | 2016 |  M08   | 137.026 |           |
| SUUR0000SA0 | 2016 |  M07   | 137.007 |           |
| SUUR0000SA0 | 2016 |  M06   | 137.329 |           |
| SUUR0000SA0 | 2016 |  M05   | 136.895 |           |
| SUUR0000SA0 | 2016 |  M04   | 136.332 |           |
| SUUR0000SA0 | 2016 |  M03   | 135.655 |           |
| SUUR0000SA0 | 2016 |  M02   | 134.953 |           |
| SUUR0000SA0 | 2016 |  M01   | 134.966 |           |
| SUUR0000SA0 | 2015 |  M12   | 134.788 |           |
| SUUR0000SA0 | 2015 |  M11   | 135.393 |           |
| SUUR0000SA0 | 2015 |  M10   | 135.735 |           |
| SUUR0000SA0 | 2015 |  M09   | 135.837 |           |
| SUUR0000SA0 | 2015 |  M08   | 136.125 |           |
| SUUR0000SA0 | 2015 |  M07   | 136.371 |           |
| SUUR0000SA0 | 2015 |  M06   | 136.391 |           |
| SUUR0000SA0 | 2015 |  M05   | 135.977 |           |
| SUUR0000SA0 | 2015 |  M04   | 135.222 |           |
| SUUR0000SA0 | 2015 |  M03   | 134.969 |           |
| SUUR0000SA0 | 2015 |  M02   | 134.053 |           |
| SUUR0000SA0 | 2015 |  M01   | 133.487 |           |
| SUUR0000SA0 | 2014 |  M12   | 134.207 |           |
| SUUR0000SA0 | 2014 |  M11   | 135.107 |           |
| SUUR0000SA0 | 2014 |  M10   | 135.891 |           |
| SUUR0000SA0 | 2014 |  M09   | 136.211 |           |
| SUUR0000SA0 | 2014 |  M08   | 136.127 |           |
| SUUR0000SA0 | 2014 |  M07   | 136.392 |           |
| SUUR0000SA0 | 2014 |  M06   | 136.433 |           |
| SUUR0000SA0 | 2014 |  M05   | 136.216 |           |
| SUUR0000SA0 | 2014 |  M04   | 135.771 |           |
| SUUR0000SA0 | 2014 |  M03   | 135.375 |           |
